lof_csq_collapsed,Singletons,Expected_Singletons,N_variants,PS,MAPS,MAPS_Sem,downsampling,population
HC,199,1.4798e+02,307,6.4821e-01,1.6619e-01,2.7254e-02,10,global
HC,301,2.3258e+02,487,6.1807e-01,1.4050e-01,2.2016e-02,20,global
HC,547,4.0507e+02,846,6.4657e-01,1.6776e-01,1.6435e-02,50,global
HC,847,6.1410e+02,1284,6.5966e-01,1.8138e-01,1.3223e-02,100,global
HC,1225,8.5125e+02,1791,6.8398e-01,2.0868e-01,1.0986e-02,158,global
HC,1462,1.0066e+03,2122,6.8897e-01,2.1461e-01,1.0049e-02,200,global
HC,2629,1.7536e+03,3713,7.0805e-01,2.3576e-01,7.4614e-03,456,global
HC,2848,1.8926e+03,3999,7.1218e-01,2.3891e-01,7.1595e-03,500,global
HC,4906,3.1418e+03,6635,7.3941e-01,2.6590e-01,5.3889e-03,1000,global
HC,5115,3.2582e+03,6884,7.4303e-01,2.6973e-01,5.2665e-03,1047,global
HC,7492,4.7222e+03,10007,7.4868e-01,2.7678e-01,4.3362e-03,1736,global
HC,8330,5.2454e+03,11118,7.4924e-01,2.7744e-01,4.1108e-03,2000,global
HC,9593,5.9987e+03,12738,7.5310e-01,2.8218e-01,3.8206e-03,2419,global
HC,10140,6.3395e+03,13450,7.5390e-01,2.8257e-01,3.7141e-03,2604,global
HC,16537,1.0361e+04,21900,7.5511e-01,2.8201e-01,2.9058e-03,5000,global
HC,17305,1.0848e+04,22925,7.5485e-01,2.8166e-01,2.8411e-03,5316,global
HC,22491,1.4258e+04,30038,7.4875e-01,2.7407e-01,2.5026e-03,7647,global
HC,27299,1.7479e+04,36719,7.4346e-01,2.6744e-01,2.2791e-03,10000,global
HC,36241,2.3718e+04,49482,7.3241e-01,2.5308e-01,1.9902e-03,15000,global
HC,43942,2.9411e+04,61061,7.1964e-01,2.3797e-01,1.8177e-03,20000,global
HC,45113,3.0227e+04,62706,7.1944e-01,2.3739e-01,1.7941e-03,20744,global
HC,51100,3.4784e+04,71851,7.1119e-01,2.2708e-01,1.6908e-03,25000,global
HC,57376,3.9773e+04,81809,7.0134e-01,2.1517e-01,1.6001e-03,30000,global
HC,62021,4.3537e+04,89283,6.9466e-01,2.0703e-01,1.5413e-03,34029,global
HC,68381,4.8866e+04,99808,6.8513e-01,1.9553e-01,1.4702e-03,40000,global
HC,77764,5.7094e+04,115879,6.7108e-01,1.7838e-01,1.3802e-03,50000,global
HC,86469,6.4861e+04,130946,6.6034e-01,1.6501e-01,1.3088e-03,60000,global
HC,94176,7.1992e+04,144723,6.5073e-01,1.5328e-01,1.2532e-03,70000,global
HC,97813,7.5406e+04,151287,6.4654e-01,1.4811e-01,1.2290e-03,75000,global
HC,138,1.1732e+02,241,5.7261e-01,8.5822e-02,3.1866e-02,10,nfe
HC,105,1.0924e+02,224,4.6875e-01,-1.8918e-02,3.3342e-02,10,fin
HC,156,1.2538e+02,266,5.8647e-01,1.1509e-01,3.0195e-02,10,mid
HC,183,1.4256e+02,296,6.1824e-01,1.3662e-01,2.8238e-02,10,oth
HC,86,1.0084e+02,206,4.1748e-01,-7.2028e-02,3.4359e-02,10,ami
HC,130,1.1964e+02,249,5.2209e-01,4.1595e-02,3.1655e-02,10,asj
HC,218,1.7216e+02,361,6.0388e-01,1.2698e-01,2.5742e-02,10,afr
HC,144,1.2155e+02,253,5.6917e-01,8.8728e-02,3.1132e-02,10,eas
HC,151,1.2733e+02,261,5.7854e-01,9.0672e-02,3.0565e-02,10,sas
HC,139,1.2437e+02,253,5.4941e-01,5.7819e-02,3.1281e-02,10,amr
HC,197,1.6853e+02,347,5.6772e-01,8.2055e-02,2.6594e-02,20,nfe
HC,164,1.5713e+02,328,5.0000e-01,2.0932e-02,2.7608e-02,20,fin
HC,240,1.8876e+02,400,6.0000e-01,1.2810e-01,2.4495e-02,20,mid
HC,283,2.1126e+02,437,6.4760e-01,1.6416e-01,2.2852e-02,20,oth
HC,107,1.3352e+02,277,3.8628e-01,-9.5738e-02,2.9255e-02,20,ami
HC,184,1.6499e+02,347,5.3026e-01,5.4793e-02,2.6792e-02,20,asj
HC,306,2.4823e+02,518,5.9073e-01,1.1152e-01,2.1604e-02,20,afr
HC,240,1.8753e+02,384,6.2500e-01,1.3663e-01,2.4705e-02,20,eas
HC,216,1.8010e+02,375,5.7600e-01,9.5739e-02,2.5520e-02,20,sas
HC,238,1.8993e+02,398,5.9799e-01,1.2078e-01,2.4577e-02,20,amr
HC,400,2.9914e+02,620,6.4516e-01,1.6268e-01,1.9216e-02,50,nfe
HC,227,2.3755e+02,495,4.5859e-01,-2.1315e-02,2.2396e-02,50,fin
HC,454,3.3560e+02,709,6.4034e-01,1.6699e-01,1.8023e-02,50,mid
HC,540,3.9358e+02,824,6.5534e-01,1.7769e-01,1.6556e-02,50,oth
HC,119,1.8202e+02,380,3.1316e-01,-1.6585e-01,2.3791e-02,50,ami
HC,285,2.6152e+02,553,5.1537e-01,4.2453e-02,2.1252e-02,50,asj
HC,518,4.2565e+02,879,5.8931e-01,1.0507e-01,1.6593e-02,50,afr
HC,462,3.3165e+02,692,6.6763e-01,1.8836e-01,1.7907e-02,50,eas
HC,476,3.3720e+02,711,6.6948e-01,1.9522e-01,1.7641e-02,50,sas
HC,481,3.4985e+02,736,6.5353e-01,1.7820e-01,1.7540e-02,50,amr
HC,640,4.6341e+02,969,6.6047e-01,1.8224e-01,1.5213e-02,100,nfe
HC,356,3.4510e+02,723,4.9239e-01,1.5070e-02,1.8593e-02,100,fin
HC,688,5.0783e+02,1068,6.4419e-01,1.6870e-01,1.4650e-02,100,mid
HC,888,6.1050e+02,1287,6.8998e-01,2.1562e-01,1.2892e-02,100,oth
HC,120,2.1768e+02,458,2.6201e-01,-2.1328e-01,2.0547e-02,100,ami
HC,414,3.8482e+02,817,5.0673e-01,3.5715e-02,1.7491e-02,100,asj
HC,828,6.4772e+02,1356,6.1062e-01,1.3295e-01,1.3242e-02,100,afr
HC,776,5.1643e+02,1084,7.1587e-01,2.3946e-01,1.3698e-02,100,eas
HC,803,5.4027e+02,1146,7.0070e-01,2.2926e-01,1.3528e-02,100,sas
HC,805,5.5619e+02,1177,6.8394e-01,2.1139e-01,1.3552e-02,100,amr
HC,942,6.4429e+02,1353,6.9623e-01,2.2004e-01,1.2503e-02,158,nfe
HC,459,4.3682e+02,917,5.0055e-01,2.4191e-02,1.6511e-02,158,fin
HC,931,6.7285e+02,1421,6.5517e-01,1.8167e-01,1.2609e-02,158,mid
HC,1267,8.4589e+02,1782,7.1100e-01,2.3631e-01,1.0738e-02,158,oth
HC,122,2.4255e+02,511,2.3875e-01,-2.3591e-01,1.8859e-02,158,ami
HC,498,4.7821e+02,1023,4.8680e-01,1.9348e-02,1.5627e-02,158,asj
HC,1131,8.5430e+02,1799,6.2868e-01,1.5381e-01,1.1391e-02,158,afr
HC,1110,7.0922e+02,1510,7.3510e-01,2.6542e-01,1.1356e-02,158,eas
HC,1161,7.6423e+02,1612,7.2022e-01,2.4613e-01,1.1180e-02,158,sas
HC,1135,7.6869e+02,1630,6.9632e-01,2.2473e-01,1.1390e-02,158,amr
HC,1157,7.7307e+02,1620,7.1420e-01,2.3699e-01,1.1225e-02,200,nfe
HC,540,4.9879e+02,1044,5.1724e-01,3.9474e-02,1.5465e-02,200,fin
HC,1483,9.9139e+02,2094,7.0821e-01,2.3477e-01,9.9340e-03,200,oth
HC,112,2.5271e+02,534,2.0974e-01,-2.6350e-01,1.7618e-02,200,ami
HC,569,5.4238e+02,1159,4.9094e-01,2.2969e-02,1.4684e-02,200,asj
HC,1358,9.9970e+02,2108,6.4421e-01,1.6997e-01,1.0427e-02,200,afr
HC,1310,8.3179e+02,1776,7.3761e-01,2.6926e-01,1.0439e-02,200,eas
HC,1382,9.0161e+02,1902,7.2660e-01,2.5257e-01,1.0220e-02,200,sas
HC,1322,8.9283e+02,1887,7.0058e-01,2.2744e-01,1.0543e-02,200,amr
HC,2178,1.3831e+03,2922,7.4538e-01,2.7205e-01,8.0593e-03,456,nfe
HC,901,7.6973e+02,1621,5.5583e-01,8.0983e-02,1.2341e-02,456,fin
HC,2654,1.7583e+03,3705,7.1633e-01,2.4177e-01,7.4058e-03,456,oth
HC,138,2.9862e+02,632,2.1835e-01,-2.5415e-01,1.6433e-02,456,ami
