consequence,N_singletons,expected_singletons,N_variants,ps_agg,maps,maps_sem
3_prime_UTR_variant,5542582,4.7969e+06,11292406,4.9082e-01,6.6037e-02,1.4877e-04
5_prime_UTR_variant,2331750,1.9460e+06,4619937,5.0471e-01,8.3493e-02,2.3261e-04
TFBS_ablation,6063,0.0000e+00,16727,3.6247e-01,3.6247e-01,3.7169e-03
TF_binding_site_variant,749776,6.7395e+05,1606770,4.6664e-01,4.7190e-02,3.9357e-04
coding_sequence_variant,448,1.1017e+02,868,5.1613e-01,3.8920e-01,1.6962e-02
downstream_gene_variant,12880210,1.1808e+07,27860717,4.6231e-01,3.8478e-02,9.4457e-05
frameshift_variant,175362,0.0000e+00,300714,5.8315e-01,5.8315e-01,8.9909e-04
incomplete_terminal_codon_variant,215,2.0658e+02,484,4.4421e-01,1.7393e-02,2.2585e-02
inframe_deletion,45417,0.0000e+00,98366,4.6171e-01,4.6171e-01,1.5895e-03
inframe_insertion,28909,0.0000e+00,60238,4.7991e-01,4.7991e-01,2.0356e-03
intergenic_variant,85782659,8.0940e+07,183401726,4.6773e-01,2.6405e-02,3.6844e-05
intron_variant,213290951,1.9194e+08,446039246,4.7819e-01,4.7873e-02,2.3652e-05
mature_miRNA_variant,6712,5.9125e+03,13979,4.8015e-01,5.7192e-02,4.2256e-03
missense_variant,2587665,2.2974e+06,5020199,5.1545e-01,5.7826e-02,2.2305e-04
non_coding_transcript_exon_variant,9773534,8.7824e+06,19951729,4.8986e-01,4.9677e-02,1.1192e-04
non_coding_transcript_variant,11,9.6883e+00,18,6.1111e-01,7.2872e-02,1.1490e-01
protein_altering_variant,2243,0.0000e+00,4416,5.0793e-01,5.0793e-01,7.5232e-03
regulatory_region_ablation,23,0.0000e+00,55,4.1818e-01,4.1818e-01,6.6511e-02
regulatory_region_variant,9885623,8.8520e+06,20343492,4.8594e-01,5.0809e-02,1.1081e-04
splice_acceptor_variant,70110,5.6127e+04,135144,5.1878e-01,1.0347e-01,1.3591e-03
splice_donor_variant,79808,6.1087e+04,146188,5.4593e-01,1.2806e-01,1.3022e-03
splice_region_variant,588924,5.1207e+05,1194398,4.9307e-01,6.4349e-02,4.5746e-04
start_lost,16029,1.4625e+04,28770,5.5714e-01,4.8804e-02,2.9285e-03
start_retained_variant,2,0.0000e+00,4,5.0000e-01,5.0000e-01,2.5000e-01
stop_gained,100429,7.1848e+04,173771,5.7794e-01,1.6447e-01,1.1848e-03
stop_lost,8910,7.8002e+03,15576,5.7203e-01,7.1250e-02,3.9645e-03
stop_retained_variant,2609,2.3885e+03,4839,5.3916e-01,4.5577e-02,7.1657e-03
synonymous_variant,1084876,1.0220e+06,2305362,4.7059e-01,2.7274e-02,3.2874e-04
transcript_ablation,49,0.0000e+00,107,4.5794e-01,4.5794e-01,4.8166e-02
upstream_gene_variant,15957268,1.4565e+07,34666021,4.6031e-01,4.0153e-02,8.4654e-05
