consequence,N_singletons,expected_singletons,N_variants,ps_agg,maps,maps_sem
3_prime_UTR_variant,5353950,5.4115e+06,10549480,5.0751e-01,-5.4578e-03,1.5392e-04
5_prime_UTR_variant,2229592,2.2001e+06,4318467,5.1629e-01,6.8267e-03,2.4048e-04
HC,90470,6.9375e+04,142721,6.3389e-01,1.4781e-01,1.2752e-03
LC,10928,9.8823e+03,19697,5.5481e-01,5.3088e-02,3.5412e-03
coding_sequence_variant,77,1.0365e+02,204,3.7745e-01,-1.3064e-01,3.3939e-02
downstream_gene_variant,3329616,3.4991e+06,6833784,4.8723e-01,-2.4808e-02,1.9120e-04
incomplete_terminal_codon_variant,98,1.0884e+02,212,4.6226e-01,-5.1125e-02,3.4242e-02
intron_variant,111076034,1.1468e+08,221845155,5.0069e-01,-1.6254e-02,3.3569e-05
mature_miRNA_variant,4656,4.5812e+03,9137,5.0958e-01,8.1859e-03,5.2298e-03
missense_variant,2853688,2.6494e+06,5505125,5.1837e-01,3.7102e-02,2.1296e-04
non_coding_transcript_exon_variant,4232453,4.2599e+06,8361067,5.0621e-01,-3.2779e-03,1.7290e-04
non_coding_transcript_variant,2,2.1780e+00,4,5.0000e-01,-4.4502e-02,2.5000e-01
splice_acceptor_variant,23574,2.2377e+04,41064,5.7408e-01,2.9141e-02,2.4402e-03
splice_donor_variant,32269,3.0553e+04,57997,5.5639e-01,2.9588e-02,2.0629e-03
splice_region_variant,424995,4.1636e+05,812884,5.2282e-01,1.0618e-02,5.5399e-04
start_lost,18355,1.7631e+04,32668,5.6186e-01,2.2170e-02,2.7451e-03
stop_gained,40256,3.5308e+04,73815,5.4536e-01,6.7037e-02,1.8327e-03
stop_lost,10053,9.1990e+03,16752,6.0011e-01,5.0976e-02,3.7849e-03
stop_retained_variant,3003,2.9507e+03,5422,5.5385e-01,9.6492e-03,6.7508e-03
synonymous_variant,1193758,1.1938e+06,2539787,4.7002e-01,0.0000e+00,3.1318e-04
upstream_gene_variant,5334482,5.5200e+06,10801921,4.9385e-01,-1.7179e-02,1.5212e-04
