lof_csq_collapsed,Singletons,Expected_Singletons,N_variants,PS,MAPS,MAPS_Sem,downsampling
HC,199,1.4798e+02,307,6.4821e-01,1.6619e-01,2.7254e-02,10
HC,301,2.3258e+02,487,6.1807e-01,1.4050e-01,2.2016e-02,20
HC,547,4.0507e+02,846,6.4657e-01,1.6776e-01,1.6435e-02,50
HC,847,6.1410e+02,1284,6.5966e-01,1.8138e-01,1.3223e-02,100
HC,1225,8.5125e+02,1791,6.8398e-01,2.0868e-01,1.0986e-02,158
HC,1462,1.0066e+03,2122,6.8897e-01,2.1461e-01,1.0049e-02,200
HC,2629,1.7536e+03,3713,7.0805e-01,2.3576e-01,7.4614e-03,456
HC,2848,1.8926e+03,3999,7.1218e-01,2.3891e-01,7.1595e-03,500
HC,4906,3.1418e+03,6635,7.3941e-01,2.6590e-01,5.3889e-03,1000
HC,5115,3.2582e+03,6884,7.4303e-01,2.6973e-01,5.2665e-03,1047
HC,7492,4.7222e+03,10007,7.4868e-01,2.7678e-01,4.3362e-03,1736
HC,8330,5.2454e+03,11118,7.4924e-01,2.7744e-01,4.1108e-03,2000
HC,9593,5.9987e+03,12738,7.5310e-01,2.8218e-01,3.8206e-03,2419
HC,10140,6.3395e+03,13450,7.5390e-01,2.8257e-01,3.7141e-03,2604
HC,16537,1.0361e+04,21900,7.5511e-01,2.8201e-01,2.9058e-03,5000
HC,17305,1.0848e+04,22925,7.5485e-01,2.8166e-01,2.8411e-03,5316
HC,22491,1.4258e+04,30038,7.4875e-01,2.7407e-01,2.5026e-03,7647
HC,27299,1.7479e+04,36719,7.4346e-01,2.6744e-01,2.2791e-03,10000
HC,36241,2.3718e+04,49482,7.3241e-01,2.5308e-01,1.9902e-03,15000
HC,43942,2.9411e+04,61061,7.1964e-01,2.3797e-01,1.8177e-03,20000
HC,45113,3.0227e+04,62706,7.1944e-01,2.3739e-01,1.7941e-03,20744
HC,51100,3.4784e+04,71851,7.1119e-01,2.2708e-01,1.6908e-03,25000
HC,57376,3.9773e+04,81809,7.0134e-01,2.1517e-01,1.6001e-03,30000
HC,62021,4.3537e+04,89283,6.9466e-01,2.0703e-01,1.5413e-03,34029
HC,68381,4.8866e+04,99808,6.8513e-01,1.9553e-01,1.4702e-03,40000
HC,77764,5.7094e+04,115879,6.7108e-01,1.7838e-01,1.3802e-03,50000
HC,86469,6.4861e+04,130946,6.6034e-01,1.6501e-01,1.3088e-03,60000
HC,94176,7.1992e+04,144723,6.5073e-01,1.5328e-01,1.2532e-03,70000
HC,97813,7.5406e+04,151287,6.4654e-01,1.4811e-01,1.2290e-03,75000
LC,60,7.0294e+01,140,4.2857e-01,-7.3532e-02,4.1824e-02,10
LC,99,1.0412e+02,207,4.7826e-01,-2.4736e-02,3.4720e-02,20
LC,136,1.4699e+02,298,4.5638e-01,-3.6879e-02,2.8854e-02,50
LC,183,1.9035e+02,390,4.6923e-01,-1.8839e-02,2.5270e-02,100
LC,227,2.4345e+02,494,4.5951e-01,-3.3292e-02,2.2422e-02,158
LC,268,2.7629e+02,560,4.7857e-01,-1.4801e-02,2.1109e-02,200
LC,471,4.2272e+02,876,5.3767e-01,5.5115e-02,1.6845e-02,456
