lof_csq_collapsed,Singletons,Expected_Singletons,N_variants,PS,MAPS,MAPS_Sem,downsampling,population
HC,199,1.1323e+02,307,6.4821e-01,2.7939e-01,2.7254e-02,10,global
HC,301,1.8279e+02,487,6.1807e-01,2.4274e-01,2.2016e-02,20,global
HC,547,3.1024e+02,846,6.4657e-01,2.7986e-01,1.6435e-02,50,global
HC,847,4.9184e+02,1284,6.5966e-01,2.7661e-01,1.3223e-02,100,global
HC,1225,7.0320e+02,1791,6.8398e-01,2.9135e-01,1.0986e-02,158,global
HC,1462,8.3334e+02,2122,6.8897e-01,2.9626e-01,1.0049e-02,200,global
HC,2629,1.5791e+03,3713,7.0805e-01,2.8275e-01,7.4614e-03,456,global
HC,2848,1.7202e+03,3999,7.1218e-01,2.8202e-01,7.1595e-03,500,global
HC,4906,3.1109e+03,6635,7.3941e-01,2.7055e-01,5.3889e-03,1000,global
HC,5115,3.2417e+03,6884,7.4303e-01,2.7213e-01,5.2665e-03,1047,global
HC,7492,5.0046e+03,10007,7.4868e-01,2.4856e-01,4.3362e-03,1736,global
HC,8330,5.6379e+03,11118,7.4924e-01,2.4214e-01,4.1108e-03,2000,global
HC,9593,6.5606e+03,12738,7.5310e-01,2.3806e-01,3.8206e-03,2419,global
HC,10140,6.9791e+03,13450,7.5390e-01,2.3501e-01,3.7141e-03,2604,global
HC,16537,1.1838e+04,21900,7.5511e-01,2.1457e-01,2.9058e-03,5000,global
HC,17305,1.2427e+04,22925,7.5485e-01,2.1280e-01,2.8411e-03,5316,global
HC,22491,1.6474e+04,30038,7.4875e-01,2.0033e-01,2.5026e-03,7647,global
HC,27299,2.0152e+04,36719,7.4346e-01,1.9463e-01,2.2791e-03,10000,global
HC,36241,2.6968e+04,49482,7.3241e-01,1.8739e-01,1.9902e-03,15000,global
HC,43942,3.2929e+04,61061,7.1964e-01,1.8035e-01,1.8177e-03,20000,global
HC,45113,3.3751e+04,62706,7.1944e-01,1.8119e-01,1.7941e-03,20744,global
HC,51100,3.8287e+04,71851,7.1119e-01,1.7833e-01,1.6908e-03,25000,global
HC,57376,4.3135e+04,81809,7.0134e-01,1.7408e-01,1.6001e-03,30000,global
HC,62021,4.6659e+04,89283,6.9466e-01,1.7206e-01,1.5413e-03,34029,global
HC,68381,5.1480e+04,99808,6.8513e-01,1.6934e-01,1.4702e-03,40000,global
HC,77764,5.8739e+04,115879,6.7108e-01,1.6418e-01,1.3802e-03,50000,global
HC,86469,6.5271e+04,130946,6.6034e-01,1.6188e-01,1.3088e-03,60000,global
HC,94176,7.1129e+04,144723,6.5073e-01,1.5925e-01,1.2532e-03,70000,global
HC,97813,7.3854e+04,151287,6.4654e-01,1.5837e-01,1.2290e-03,75000,global
HC,138,6.5877e+01,241,5.7261e-01,2.9926e-01,3.1866e-02,10,nfe
HC,105,5.6284e+01,224,4.6875e-01,2.1748e-01,3.3342e-02,10,fin
HC,156,8.2623e+01,266,5.8647e-01,2.7586e-01,3.0195e-02,10,mid
HC,183,1.0458e+02,296,6.1824e-01,2.6493e-01,2.8238e-02,10,oth
HC,86,4.2987e+01,206,4.1748e-01,2.0880e-01,3.4359e-02,10,ami
HC,130,6.9682e+01,249,5.2209e-01,2.4224e-01,3.1655e-02,10,asj
HC,218,1.3854e+02,361,6.0388e-01,2.2012e-01,2.5742e-02,10,afr
HC,144,6.8372e+01,253,5.6917e-01,2.9893e-01,3.1132e-02,10,eas
HC,151,7.7338e+01,261,5.7854e-01,2.8223e-01,3.0565e-02,10,sas
HC,139,7.8365e+01,253,5.4941e-01,2.3966e-01,3.1281e-02,10,amr
HC,197,9.0605e+01,347,5.6772e-01,3.0661e-01,2.6594e-02,20,nfe
HC,164,7.2753e+01,328,5.0000e-01,2.7819e-01,2.7608e-02,20,fin
HC,240,1.2697e+02,400,6.0000e-01,2.8258e-01,2.4495e-02,20,mid
HC,283,1.5744e+02,437,6.4760e-01,2.8733e-01,2.2852e-02,20,oth
HC,107,4.5132e+01,277,3.8628e-01,2.2335e-01,2.9255e-02,20,ami
HC,184,9.0163e+01,347,5.3026e-01,2.7042e-01,2.6792e-02,20,asj
HC,306,1.8115e+02,518,5.9073e-01,2.4103e-01,2.1604e-02,20,afr
HC,240,1.0433e+02,384,6.2500e-01,3.5331e-01,2.4705e-02,20,eas
HC,216,1.1316e+02,375,5.7600e-01,2.7424e-01,2.5520e-02,20,sas
HC,238,1.3212e+02,398,5.9799e-01,2.6604e-01,2.4577e-02,20,amr
HC,400,1.8151e+02,620,6.4516e-01,3.5241e-01,1.9216e-02,50,nfe
HC,227,1.0087e+02,495,4.5859e-01,2.5480e-01,2.2396e-02,50,fin
HC,454,2.4610e+02,709,6.4034e-01,2.9323e-01,1.8023e-02,50,mid
HC,540,3.1473e+02,824,6.5534e-01,2.7338e-01,1.6556e-02,50,oth
HC,119,4.7706e+01,380,3.1316e-01,1.8762e-01,2.3791e-02,50,ami
HC,285,1.3662e+02,553,5.1537e-01,2.6832e-01,2.1252e-02,50,asj
HC,518,2.8746e+02,879,5.8931e-01,2.6227e-01,1.6593e-02,50,afr
HC,462,2.2601e+02,692,6.6763e-01,3.4102e-01,1.7907e-02,50,eas
HC,476,2.5330e+02,711,6.6948e-01,3.1323e-01,1.7641e-02,50,sas
HC,481,2.6462e+02,736,6.5353e-01,2.9399e-01,1.7540e-02,50,amr
HC,640,3.2242e+02,969,6.6047e-01,3.2774e-01,1.5213e-02,100,nfe
HC,356,1.4571e+02,723,4.9239e-01,2.9086e-01,1.8593e-02,100,fin
HC,688,3.8193e+02,1068,6.4419e-01,2.8658e-01,1.4650e-02,100,mid
HC,888,5.0849e+02,1287,6.8998e-01,2.9488e-01,1.2892e-02,100,oth
HC,120,4.7924e+01,458,2.6201e-01,1.5737e-01,2.0547e-02,100,ami
HC,414,1.9760e+02,817,5.0673e-01,2.6488e-01,1.7491e-02,100,asj
HC,828,4.4683e+02,1356,6.1062e-01,2.8110e-01,1.3242e-02,100,afr
HC,776,4.1192e+02,1084,7.1587e-01,3.3587e-01,1.3698e-02,100,eas
HC,803,4.5493e+02,1146,7.0070e-01,3.0373e-01,1.3528e-02,100,sas
HC,805,4.5294e+02,1177,6.8394e-01,2.9911e-01,1.3552e-02,100,amr
HC,942,4.9037e+02,1353,6.9623e-01,3.3380e-01,1.2503e-02,158,nfe
HC,459,1.9005e+02,917,5.0055e-01,2.9330e-01,1.6511e-02,158,fin
HC,931,5.2320e+02,1421,6.5517e-01,2.8698e-01,1.2609e-02,158,mid
HC,1267,7.2494e+02,1782,7.1100e-01,3.0418e-01,1.0738e-02,158,oth
HC,122,4.7405e+01,511,2.3875e-01,1.4598e-01,1.8859e-02,158,ami
HC,498,2.4077e+02,1023,4.8680e-01,2.5145e-01,1.5627e-02,158,asj
HC,1131,6.1081e+02,1799,6.2868e-01,2.8915e-01,1.1391e-02,158,afr
HC,1110,6.3611e+02,1510,7.3510e-01,3.1383e-01,1.1356e-02,158,eas
HC,1161,6.8109e+02,1612,7.2022e-01,2.9771e-01,1.1180e-02,158,sas
HC,1135,6.4327e+02,1630,6.9632e-01,3.0168e-01,1.1390e-02,158,amr
HC,1157,6.2380e+02,1620,7.1420e-01,3.2913e-01,1.1225e-02,200,nfe
HC,540,2.2213e+02,1044,5.1724e-01,3.0447e-01,1.5465e-02,200,fin
HC,1483,8.6579e+02,2094,7.0821e-01,2.9475e-01,9.9340e-03,200,oth
HC,112,4.7809e+01,534,2.0974e-01,1.2021e-01,1.7618e-02,200,ami
HC,569,2.6619e+02,1159,4.9094e-01,2.6127e-01,1.4684e-02,200,asj
HC,1358,7.2981e+02,2108,6.4421e-01,2.9800e-01,1.0427e-02,200,afr
HC,1310,7.8551e+02,1776,7.3761e-01,2.9532e-01,1.0439e-02,200,eas
HC,1382,8.2809e+02,1902,7.2660e-01,2.9122e-01,1.0220e-02,200,sas
HC,1322,7.4942e+02,1887,7.0058e-01,3.0343e-01,1.0543e-02,200,amr
HC,2178,1.3362e+03,2922,7.4538e-01,2.8808e-01,8.0593e-03,456,nfe
HC,901,3.8433e+02,1621,5.5583e-01,3.1874e-01,1.2341e-02,456,fin
HC,2654,1.6277e+03,3705,7.1633e-01,2.7701e-01,7.4058e-03,456,oth
HC,138,5.2040e+01,632,2.1835e-01,1.3601e-01,1.6433e-02,456,ami
HC,796,3.6405e+02,1709,4.6577e-01,2.5275e-01,1.2066e-02,456,asj
HC,2442,1.3811e+03,3613,6.7589e-01,2.9365e-01,7.7866e-03,456,afr
HC,2439,1.6311e+03,3258,7.4862e-01,2.4798e-01,7.6001e-03,456,eas
HC,2562,1.6782e+03,3454,7.4175e-01,2.5588e-01,7.4471e-03,456,sas
HC,2230,1.3436e+03,3251,6.8594e-01,2.7267e-01,8.1403e-03,456,amr
HC,2368,1.4728e+03,3156,7.5032e-01,2.8365e-01,7.7046e-03,500,nfe
HC,948,4.1194e+02,1709,5.5471e-01,3.1367e-01,1.2022e-02,500,fin
HC,2822,1.7395e+03,3931,7.1788e-01,2.7537e-01,7.1778e-03,500,oth
HC,826,3.7829e+02,1785,4.6275e-01,2.5082e-01,1.1802e-02,500,asj
HC,2597,1.4836e+03,3835,6.7718e-01,2.9032e-01,7.5500e-03,500,afr
